q10,q11,q12,q13,q15,q16,q17,q18,q19,q20,q20b,q22,q24,q31,q112b_fi,q116,q122,q122a,q122b,q125,q139,q142,gender,msa,region,allwt,job,census,state,q3a,cmb1
Wrong track,Stay about the same,Very bad time,Very good time,Prices will go down,2, ,Prices will go up, ,15,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not very concerned,About the same vs. twelve months ago,30-34,33,30-34,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Female, , ,2.58546326062619,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Don't know VOL,Don't know VOL,Don't know VOL, , ,Don't know VOL, , ,Rates will go up,Very difficult,Own your home outright and do not have any debt on it,Buy, ,Significantly higher now,70-74,70,70-74,Married or have an unmarried partner,Don't know VOL,Don't know VOL,Female, , ,.0484403257130941,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Very bad time,Very good time,Prices will go up, ,20,Prices will go up, ,25,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,Significantly lower now,Don't know VOL, ,Don't know,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Male, , ,.866529727856017,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat worse,Somewhat bad time,Somewhat bad time,Prices will go up, , ,Don't know VOL, , ,Rates will go up,Somewhat easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,75+,80,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,.186351869787139,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much better,Very good time,Somewhat bad time,Prices will remain about the same, , ,Prices will go up, ,3,Rates will remain about the same,Somewhat easy,Rent,Buy, ,Significantly higher now,55-59,56,55-59,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$10,000-$14,999",Male, , ,.397190024157426,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Don't know VOL,Stay about the same,Somewhat bad time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, , ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,60-64,60,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.534636447767236,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Don't know VOL,Somewhat worse,Somewhat good time,Somewhat bad time,Prices will go up, ,10,Prices will go up, ,15,Rates will go up,Don't know VOL,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,Don't know VOL, ,Don't know,Married or have an unmarried partner,Don't know VOL,Don't know VOL,Female, , ,.0711591088816342,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Don't know VOL,Don't know VOL,Very good time,Don't know VOL, , ,Don't know VOL, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Don't know VOL, ,About the same vs. twelve months ago,70-74,73,70-74,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.475035883452046,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat worse,Somewhat bad time,Somewhat good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will remain about the same,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,Significantly higher now,45-49,45,45-49,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$75,000-$99,999",Male, , ,1.18700455263727,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Don't know VOL,Somewhat better,Don't know VOL,Don't know VOL,Prices will go down, , ,Prices will go down, , ,Rates will go up,Very difficult,Rent,Buy, ,About the same vs. twelve months ago,Don't know VOL, ,Don't know,Divorced,Black / African-American,Don't know VOL,Female, , ,.998228843760687,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Right track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will go down,10, ,Prices will go up, ,10,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Rent, ,About the same vs. twelve months ago,70-74,73,70-74,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Female, , ,1.67913473618074,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Don't know VOL,Don't know VOL,Don't know VOL,Don't know VOL,Don't know VOL, , ,Prices will go up, ,5,Rates will go up,Very difficult,Rent,Buy, ,Significantly higher now,50-54,50,50-54,Single,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)",Don't know VOL,Male, , ,1.16139620624128,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Somewhat worse,Somewhat bad time,Somewhat good time,Prices will go up, ,5,Prices will go up, ,7,Rates will go up,Very difficult,Rent,Buy,Not very concerned,About the same vs. twelve months ago,18-20,19,18-20,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Female, , ,2.35322419908825,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Somewhat bad time,Somewhat good time,Prices will go up, ,5,Prices will go up, ,5,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,About the same vs. twelve months ago,60-64,61,60-64,Married or have an unmarried partner,Black / African-American,"$75,000-$99,999",Male, , ,.948057360258707,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much worse,Very bad time,Very good time,Prices will go down,7, ,Prices will go up, ,15,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,55-59,56,55-59,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.45667698629971,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Stay about the same,Somewhat good time,Very good time,Prices will go up, ,10,Prices will go up, ,9,Rates will remain about the same,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Very concerned,About the same vs. twelve months ago,45-49,45,45-49,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$15,000-$24,999",Male, , ,2.67339324312182,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
