credit_score,first_payment_date,mortgage_insurance_percentage,number_of_units,original_combined_loan_to_value,original_debt_to_income_ratio,original_upb,original_loan_to_value,original_interest_rate,property_type,number_of_borrowers,seller_name,servicer_name
686,202203,25,1,90,48,306000,90,3.49,CO,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
715,202203,25,1,90,40,414000,90,3.25,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
798,202203,12,1,89,48,370000,89,3.0,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
816,202203,0,1,80,31,576000,80,2.875,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
762,202203,30,1,95,32,646000,95,2.99,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
781,202203,30,1,95,35,413000,95,3.25,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
663,202203,0,1,80,22,504000,80,3.75,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
737,202203,25,1,90,36,383000,90,2.875,SF,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
772,202203,0,1,80,20,608000,80,2.99,SF,2,Other sellers,Other servicers
638,202203,30,1,92,42,540000,92,3.625,SF,4,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
801,202203,0,1,76,36,780000,76,2.875,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
796,202203,25,1,89,46,565000,89,2.75,SF,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
