region,property_type,property_type_id,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,period,timestamp,interest_rate
"Suffolk County, NY",Condo/Co-op,3,253750.0,369900.0,239.2428571428572,231.19218910585812,256.0,180.0,225.0,694.0,2.7,57.0,0.9685925677231488,0.09375,0.1657060518731988,0.0944444444444444,2017-08-01,1501545600.0,3.93
"Suffolk County, NY",Multi-Family (2-4 Unit),4,395000.0,399000.0,193.47313596491227,237.41566191694068,13.0,13.0,17.0,65.0,5.0,84.0,0.955198001118924,0.2307692307692307,0.1384615384615384,0.0,2018-02-01,1517443200.0,4.22
"Suffolk County, NY",Townhouse,13,475000.0,520500.0,235.56101813110183,310.0,13.0,14.0,12.0,27.0,2.1,21.0,1.0230498480009735,0.3846153846153846,0.1481481481481481,0.0714285714285714,2021-10-01,1633046400.0,2.99
"Suffolk County, NY",Townhouse,13,540000.0,599000.0,320.77344931921334,355.74171446145,19.0,15.0,18.0,19.0,1.0,29.0,1.031188668981636,0.5789473684210527,0.0526315789473684,0.5999999999999999,2023-08-01,1690848000.0,6.9
"Suffolk County, NY",All Residential,-1,300000.0,349997.0,190.2173913043478,216.15123172850863,823.0,776.0,2335.0,8311.0,10.1,141.0,0.948177605979948,0.1008505467800729,0.1786788593430393,0.1481958762886597,2013-04-01,1364774400.0,3.54
"Suffolk County, NY",Multi-Family (2-4 Unit),4,325000.0,349000.0,204.08163265306123,213.63636363636363,25.0,3.0,37.0,168.0,6.7,71.0,0.9304604910291217,0.12,0.2083333333333333,0.0,2013-07-01,1372636800.0,4.29
"Suffolk County, NY",All Residential,-1,375000.0,419000.0,225.47468354430376,249.5652173913044,1043.0,880.0,1739.0,5651.0,5.4,65.0,0.9775657877112772,0.2348993288590604,0.144576181206866,0.2068181818181818,2019-02-01,1548979200.0,4.41
"Suffolk County, NY",Condo/Co-op,3,315000.0,479000.0,280.559331634098,296.66366095581606,173.0,130.0,153.0,293.0,1.7,32.0,0.9918372491164414,0.3352601156069364,0.1228668941979522,0.2384615384615384,2021-01-01,1609459200.0,2.65
"Suffolk County, NY",Condo/Co-op,3,275000.0,439000.0,255.18485121731288,254.73399458972048,189.0,207.0,274.0,634.0,3.4,54.0,0.9793716780701772,0.1851851851851851,0.195583596214511,0.1304347826086956,2019-05-01,1556668800.0,4.14
"Suffolk County, NY",Multi-Family (2-4 Unit),4,301000.0,329000.0,151.11111111111111,208.33263888888888,11.0,7.0,21.0,164.0,14.9,91.0,0.92216258954156,0.0909090909090909,0.1219512195121951,0.2857142857142857,2012-10-01,1349049600.0,3.36
"Suffolk County, NY",All Residential,-1,340000.0,365000.0,208.36063783311488,220.0,1141.0,609.0,1520.0,5742.0,5.0,84.0,0.9667023804280204,0.1612620508326029,0.1393242772553117,0.1510673234811165,2017-01-01,1483228800.0,4.2
"Suffolk County, NY",Single Family Residential,6,350000.0,349999.0,204.58907261404423,218.72685185185185,1117.0,682.0,1268.0,5978.0,5.4,69.0,0.97030074947904,0.1924798567591763,0.1893609902977584,0.0997067448680351,2016-10-01,1475280000.0,3.42
"Suffolk County, NY",Condo/Co-op,3,265000.0,349990.0,242.5824175824176,221.98689217758985,207.0,98.0,144.0,725.0,3.5,68.0,0.9785713797081615,0.2028985507246376,0.1682758620689655,0.2653061224489796,2016-11-01,1477958400.0,3.54
"Suffolk County, NY",Townhouse,13,330100.0,345000.0,250.0,211.6335026813435,43.0,18.0,40.0,180.0,4.2,104.0,0.9483041720165396,0.0232558139534883,0.1777777777777777,0.1111111111111111,2016-01-01,1451606400.0,3.97
"Suffolk County, NY",Multi-Family (2-4 Unit),4,370000.0,369000.0,194.15680473372785,218.10505319148936,13.0,20.0,32.0,168.0,12.9,106.0,0.9132902266211012,0.0,0.1904761904761904,0.2,2013-05-01,1367366400.0,3.35
"Suffolk County, NY",Single Family Residential,6,360000.0,359000.0,207.3170731707317,226.61870503597123,1224.0,776.0,1385.0,6218.0,5.1,66.0,0.9691038955727436,0.1781045751633987,0.1995818591186876,0.134020618556701,2016-09-01,1472688000.0,3.46
"Suffolk County, NY",Single Family Residential,6,365300.0,377777.0,214.5833333333333,229.00302114803625,1068.0,671.0,1305.0,4457.0,4.2,58.0,0.9747912006775832,0.2312734082397003,0.1453892752972851,0.1698956780923994,2018-01-01,1514764800.0,3.95
"Suffolk County, NY",Condo/Co-op,3,268250.0,394900.0,231.7403065825068,239.19753086419752,190.0,168.0,279.0,768.0,4.0,66.0,0.9680637018850812,0.1210526315789473,0.1614583333333333,0.1428571428571428,2017-05-01,1493596800.0,4.02
"Suffolk County, NY",Townhouse,13,508950.0,302500.0,285.55251196477457,201.5273652948664,2.0,1.0,2.0,43.0,21.5,152.0,0.9088888727626332,0.0,0.0930232558139534,0.0,2013-12-01,1385856000.0,4.46
"Suffolk County, NY",Condo/Co-op,3,280000.0,359900.0,222.54901960784315,215.5094043887148,133.0,123.0,242.0,1130.0,8.5,84.0,0.9636248064215998,0.0601503759398496,0.2044247787610619,0.048780487804878,2015-06-01,1433116800.0,3.87
"Suffolk County, NY",All Residential,-1,341625.0,359900.0,210.8108108108108,215.5094043887148,1226.0,1079.0,2272.0,9598.0,7.8,83.0,0.9586209208481142,0.1190864600326264,0.2327568243384038,0.0954587581093605,2015-06-01,1433116800.0,3.87
"Suffolk County, NY",Multi-Family (2-4 Unit),4,602500.0,510000.0,280.24467603081104,322.94117647058823,26.0,13.0,13.0,61.0,2.3,50.0,0.9790152923983426,0.2692307692307692,0.1311475409836065,0.1538461538461538,2021-12-01,1638316800.0,3.11
"Suffolk County, NY",All Residential,-1,590000.0,599000.0,341.0351201478743,355.74171446145,1369.0,1258.0,1411.0,2419.0,1.8,23.0,1.0182017754191146,0.5836376917457998,0.1748656469615543,0.3577106518282988,2023-08-01,1690848000.0,6.9
"Suffolk County, NY",Single Family Residential,6,349900.0,379000.0,200.0,230.98869085652345,971.0,953.0,1845.0,6763.0,7.0,109.0,0.961827196894594,0.141091658084449,0.1941446103800088,0.1322140608604407,2016-05-01,1462060800.0,3.61
"Suffolk County, NY",All Residential,-1,355000.0,369000.0,222.04401867231584,231.78571428571428,1474.0,1005.0,1321.0,5659.0,3.8,59.0,0.978130485981492,0.2116689280868385,0.1480827001236967,0.117412935323383,2017-11-01,1509494400.0,3.94
"Suffolk County, NY",All Residential,-1,330000.0,374999.0,203.18021201413427,222.3543013818505,1034.0,718.0,1662.0,5918.0,5.7,78.0,0.9688102733287914,0.2030947775628626,0.1333220682663061,0.1866295264623955,2017-02-01,1485907200.0,4.19
"Suffolk County, NY",Multi-Family (2-4 Unit),4,298000.0,339000.0,175.0,214.54166666666663,21.0,12.0,23.0,159.0,7.599999999999999,58.0,0.924155547220541,0.0476190476190476,0.1446540880503144,0.1666666666666666,2013-08-01,1375315200.0,4.39
"Suffolk County, NY",Townhouse,13,376000.0,359000.0,,220.664890050952,1.0,4.0,10.0,44.0,44.0,52.0,0.9402350587646912,0.0,0.1363636363636363,0.5,2013-06-01,1370044800.0,3.91
"Suffolk County, NY",All Residential,-1,545000.0,539000.0,330.0,333.05528888888887,1273.0,929.0,969.0,3154.0,2.5,34.0,0.9997796253615217,0.4744697564807541,0.2187698161065314,0.1808396124865446,2022-11-01,1667260800.0,6.95
"Suffolk County, NY",Single Family Residential,6,339840.0,349900.0,198.79289501882025,215.45171411790164,1018.0,757.0,1777.0,7855.0,7.7,79.0,0.9585724156896092,0.1394891944990176,0.2320814767663908,0.1215323645970937,2014-06-01,1401580800.0,4.14
"Suffolk County, NY",Townhouse,13,348750.0,345000.0,307.47728860936405,214.72900289615225,2.0,1.0,4.0,41.0,20.5,86.0,0.9305526897004988,0.0,0.0975609756097561,1.0,2014-02-01,1391212800.0,4.23
"Suffolk County, NY",Single Family Residential,6,570000.0,599000.0,344.6115288220552,345.3016723202171,888.0,1031.0,1322.0,2033.0,2.3,27.0,1.0086529078559163,0.5270270270270269,0.1687161829808165,0.4238603297769156,2023-05-01,1682899200.0,6.39
"Suffolk County, NY",Single Family Residential,6,565000.0,550000.0,323.208722741433,326.91923076923075,1034.0,861.0,1114.0,3012.0,2.9,33.0,1.010808770794425,0.5241779497098646,0.24601593625498,0.2322880371660859,2022-10-01,1664582400.0,6.66
"Suffolk County, NY",Townhouse,13,545000.0,569945.0,332.30058406781086,335.9794942238179,17.0,7.0,14.0,23.0,1.4,23.0,1.0232791398234542,0.6470588235294118,0.217391304347826,0.5714285714285714,2022-05-01,1651363200.0,5.27
"Suffolk County, NY",Condo/Co-op,3,318000.0,475000.0,275.86206896551727,278.7324550189676,195.0,174.0,168.0,372.0,1.9,31.0,0.995559814694837,0.3384615384615384,0.1532258064516129,0.189655172413793,2020-11-01,1604188800.0,2.78
"Suffolk County, NY",Townhouse,13,273750.0,299999.0,133.92857142857142,191.25,2.0,2.0,4.0,44.0,22.0,200.0,0.9185279499294348,0.0,0.1136363636363636,0.5,2012-11-01,1351728000.0,3.39
"Suffolk County, NY",Townhouse,13,500000.0,599000.0,345.13805522208884,345.3016723202171,31.0,35.0,34.0,22.0,0.6999999999999998,27.0,1.0028216823491982,0.1935483870967741,0.0454545454545454,0.6571428571428571,2023-05-01,1682899200.0,6.39
"Suffolk County, NY",All Residential,-1,354450.0,349000.0,210.19108280254773,214.64646464646464,1823.0,1093.0,1707.0,7538.0,4.1,64.0,0.9724717034570312,0.1711464618760285,0.2101353144070045,0.1052150045745654,2016-08-01,1470009600.0,3.43
"Suffolk County, NY",Multi-Family (2-4 Unit),4,420000.0,409990.0,197.49840067130265,245.7233836946476,17.0,11.0,34.0,94.0,5.5,61.0,0.9641410166045492,0.1764705882352941,0.0744680851063829,0.3636363636363636,2019-01-01,1546300800.0,4.51
"Suffolk County, NY",Single Family Residential,6,425500.0,425000.0,243.0380752606153,254.2131501774965,1538.0,1214.0,1799.0,5913.0,3.8,45.0,0.9845003373717396,0.2990897269180754,0.241501775748351,0.1490939044481054,2019-07-01,1561939200.0,3.75
"Suffolk County, NY",Condo/Co-op,3,350500.0,525000.0,308.4090379687864,319.65159982581287,166.0,102.0,158.0,275.0,1.7,33.0,0.9985539240233536,0.4036144578313253,0.0836363636363636,0.2450980392156862,2022-01-01,1640995200.0,3.22
"Suffolk County, NY",Single Family Residential,6,375000.0,365000.0,214.7058823529412,225.63131768953068,1269.0,678.0,834.0,4436.0,3.5,58.0,0.978370759156145,0.2537431048069345,0.1007664562669071,0.1297935103244837,2017-12-01,1512086400.0,3.94
"Suffolk County, NY",Townhouse,13,509500.0,550000.0,286.3128491620112,324.0885224177054,12.0,12.0,9.0,17.0,1.4,13.0,1.026428114614933,0.5,0.1176470588235294,0.5,2022-04-01,1648771200.0,4.72
"Suffolk County, NY",Single Family Residential,6,535000.0,525000.0,310.12265512265515,319.65159982581287,1192.0,702.0,997.0,1933.0,1.6,31.0,1.0120091139014038,0.5620805369127517,0.0879461976202793,0.3034188034188034,2022-01-01,1640995200.0,3.22
"Suffolk County, NY",Multi-Family (2-4 Unit),4,400000.0,389000.0,172.5,232.3506594259116,15.0,24.0,36.0,117.0,7.8,70.0,0.9437709817874778,0.1333333333333333,0.1111111111111111,0.2083333333333333,2017-06-01,1496275200.0,3.94
"Suffolk County, NY",Condo/Co-op,3,293500.0,369999.5,244.1354556803995,235.75714113181505,178.0,163.0,219.0,732.0,4.1,49.0,0.9769223746145655,0.1516853932584269,0.1967213114754098,0.0920245398773006,2017-07-01,1498867200.0,3.96
"Suffolk County, NY",Condo/Co-op,3,355000.0,489000.0,257.45394311570783,286.1621137483206,249.0,177.0,200.0,419.0,1.7,31.0,0.9885361473673248,0.2931726907630521,0.1503579952267303,0.1412429378531073,2020-10-01,1601510400.0,2.88
"Suffolk County, NY",Townhouse,13,267375.0,419000.0,134.55690703735883,249.5652173913044,2.0,3.0,4.0,14.0,7.0,44.0,0.8827286012526095,0.0,0.2857142857142857,0.6666666666666666,2019-02-01,1548979200.0,4.41
"Suffolk County, NY",All Residential,-1,525000.0,519000.0,300.0,306.11190127621154,1759.0,1756.0,2093.0,3637.0,2.1,22.0,1.0274795230225846,0.6395679363274587,0.1652460819356612,0.2801822323462414,2021-07-01,1625097600.0,2.98
"Suffolk County, NY",All Residential,-1,400000.0,439000.0,239.4155844155844,260.5919907138712,1387.0,784.0,1649.0,4883.0,3.5,55.0,0.9778214489582384,0.2501802451333813,0.1624001638337087,0.1785714285714285,2020-01-01,1577836800.0,3.72
