median_list_price,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,period_begin,period_end,"region_Nassau County, NY","region_Suffolk County, NY",property_type_All Residential,property_type_Condo/Co-op,property_type_Multi-Family (2-4 Unit),property_type_Single Family Residential,property_type_Townhouse,label
369900.0,256.0,180.0,225.0,694.0,2.7,57.0,0.9685925677231488,0.09375,0.1657060518731988,0.0944444444444444,736542,736572,0.0,1.0,0.0,1.0,0.0,0.0,0.0,253750.0
399000.0,13.0,13.0,17.0,65.0,5.0,84.0,0.955198001118924,0.2307692307692307,0.1384615384615384,0.0,736726,736753,0.0,1.0,0.0,0.0,1.0,0.0,0.0,395000.0
520500.0,13.0,14.0,12.0,27.0,2.1,21.0,1.0230498480009735,0.3846153846153846,0.1481481481481481,0.0714285714285714,738064,738094,0.0,1.0,0.0,0.0,0.0,0.0,1.0,475000.0
599000.0,19.0,15.0,18.0,19.0,1.0,29.0,1.031188668981636,0.5789473684210527,0.0526315789473684,0.5999999999999999,738733,738763,0.0,1.0,0.0,0.0,0.0,0.0,1.0,540000.0
349997.0,823.0,776.0,2335.0,8311.0,10.1,141.0,0.948177605979948,0.1008505467800729,0.1786788593430393,0.1481958762886597,734959,734988,0.0,1.0,1.0,0.0,0.0,0.0,0.0,300000.0
349000.0,25.0,3.0,37.0,168.0,6.7,71.0,0.9304604910291217,0.12,0.2083333333333333,0.0,735050,735080,0.0,1.0,0.0,0.0,1.0,0.0,0.0,325000.0
419000.0,1043.0,880.0,1739.0,5651.0,5.4,65.0,0.9775657877112772,0.2348993288590604,0.144576181206866,0.2068181818181818,737091,737118,0.0,1.0,1.0,0.0,0.0,0.0,0.0,375000.0
479000.0,173.0,130.0,153.0,293.0,1.7,32.0,0.9918372491164414,0.3352601156069364,0.1228668941979522,0.2384615384615384,737791,737821,0.0,1.0,0.0,1.0,0.0,0.0,0.0,315000.0
439000.0,189.0,207.0,274.0,634.0,3.4,54.0,0.9793716780701772,0.1851851851851851,0.195583596214511,0.1304347826086956,737180,737210,0.0,1.0,0.0,1.0,0.0,0.0,0.0,275000.0
329000.0,11.0,7.0,21.0,164.0,14.9,91.0,0.92216258954156,0.0909090909090909,0.1219512195121951,0.2857142857142857,734777,734807,0.0,1.0,0.0,0.0,1.0,0.0,0.0,301000.0
365000.0,1141.0,609.0,1520.0,5742.0,5.0,84.0,0.9667023804280204,0.1612620508326029,0.1393242772553117,0.1510673234811165,736330,736360,0.0,1.0,1.0,0.0,0.0,0.0,0.0,340000.0
349999.0,1117.0,682.0,1268.0,5978.0,5.4,69.0,0.97030074947904,0.1924798567591763,0.1893609902977584,0.0997067448680351,736238,736268,0.0,1.0,0.0,0.0,0.0,1.0,0.0,350000.0
349990.0,207.0,98.0,144.0,725.0,3.5,68.0,0.9785713797081615,0.2028985507246376,0.1682758620689655,0.2653061224489796,736269,736298,0.0,1.0,0.0,1.0,0.0,0.0,0.0,265000.0
345000.0,43.0,18.0,40.0,180.0,4.2,104.0,0.9483041720165396,0.0232558139534883,0.1777777777777777,0.1111111111111111,735964,735994,0.0,1.0,0.0,0.0,0.0,0.0,1.0,330100.0
369000.0,13.0,20.0,32.0,168.0,12.9,106.0,0.9132902266211012,0.0,0.1904761904761904,0.2,734989,735019,0.0,1.0,0.0,0.0,1.0,0.0,0.0,370000.0
359000.0,1224.0,776.0,1385.0,6218.0,5.1,66.0,0.9691038955727436,0.1781045751633987,0.1995818591186876,0.134020618556701,736208,736237,0.0,1.0,0.0,0.0,0.0,1.0,0.0,360000.0
377777.0,1068.0,671.0,1305.0,4457.0,4.2,58.0,0.9747912006775832,0.2312734082397003,0.1453892752972851,0.1698956780923994,736695,736725,0.0,1.0,0.0,0.0,0.0,1.0,0.0,365300.0
394900.0,190.0,168.0,279.0,768.0,4.0,66.0,0.9680637018850812,0.1210526315789473,0.1614583333333333,0.1428571428571428,736450,736480,0.0,1.0,0.0,1.0,0.0,0.0,0.0,268250.0
302500.0,2.0,1.0,2.0,43.0,21.5,152.0,0.9088888727626332,0.0,0.0930232558139534,0.0,735203,735233,0.0,1.0,0.0,0.0,0.0,0.0,1.0,508950.0
359900.0,133.0,123.0,242.0,1130.0,8.5,84.0,0.9636248064215998,0.0601503759398496,0.2044247787610619,0.048780487804878,735750,735779,0.0,1.0,0.0,1.0,0.0,0.0,0.0,280000.0
359900.0,1226.0,1079.0,2272.0,9598.0,7.8,83.0,0.9586209208481142,0.1190864600326264,0.2327568243384038,0.0954587581093605,735750,735779,0.0,1.0,1.0,0.0,0.0,0.0,0.0,341625.0
510000.0,26.0,13.0,13.0,61.0,2.3,50.0,0.9790152923983426,0.2692307692307692,0.1311475409836065,0.1538461538461538,738125,738155,0.0,1.0,0.0,0.0,1.0,0.0,0.0,602500.0
599000.0,1369.0,1258.0,1411.0,2419.0,1.8,23.0,1.0182017754191146,0.5836376917457998,0.1748656469615543,0.3577106518282988,738733,738763,0.0,1.0,1.0,0.0,0.0,0.0,0.0,590000.0
379000.0,971.0,953.0,1845.0,6763.0,7.0,109.0,0.961827196894594,0.141091658084449,0.1941446103800088,0.1322140608604407,736085,736115,0.0,1.0,0.0,0.0,0.0,1.0,0.0,349900.0
369000.0,1474.0,1005.0,1321.0,5659.0,3.8,59.0,0.978130485981492,0.2116689280868385,0.1480827001236967,0.117412935323383,736634,736663,0.0,1.0,1.0,0.0,0.0,0.0,0.0,355000.0
374999.0,1034.0,718.0,1662.0,5918.0,5.7,78.0,0.9688102733287914,0.2030947775628626,0.1333220682663061,0.1866295264623955,736361,736388,0.0,1.0,1.0,0.0,0.0,0.0,0.0,330000.0
339000.0,21.0,12.0,23.0,159.0,7.599999999999999,58.0,0.924155547220541,0.0476190476190476,0.1446540880503144,0.1666666666666666,735081,735111,0.0,1.0,0.0,0.0,1.0,0.0,0.0,298000.0
359000.0,1.0,4.0,10.0,44.0,44.0,52.0,0.9402350587646912,0.0,0.1363636363636363,0.5,735020,735049,0.0,1.0,0.0,0.0,0.0,0.0,1.0,376000.0
539000.0,1273.0,929.0,969.0,3154.0,2.5,34.0,0.9997796253615217,0.4744697564807541,0.2187698161065314,0.1808396124865446,738460,738489,0.0,1.0,1.0,0.0,0.0,0.0,0.0,545000.0
349900.0,1018.0,757.0,1777.0,7855.0,7.7,79.0,0.9585724156896092,0.1394891944990176,0.2320814767663908,0.1215323645970937,735385,735414,0.0,1.0,0.0,0.0,0.0,1.0,0.0,339840.0
345000.0,2.0,1.0,4.0,41.0,20.5,86.0,0.9305526897004988,0.0,0.0975609756097561,1.0,735265,735292,0.0,1.0,0.0,0.0,0.0,0.0,1.0,348750.0
599000.0,888.0,1031.0,1322.0,2033.0,2.3,27.0,1.0086529078559163,0.5270270270270269,0.1687161829808165,0.4238603297769156,738641,738671,0.0,1.0,0.0,0.0,0.0,1.0,0.0,570000.0
550000.0,1034.0,861.0,1114.0,3012.0,2.9,33.0,1.010808770794425,0.5241779497098646,0.24601593625498,0.2322880371660859,738429,738459,0.0,1.0,0.0,0.0,0.0,1.0,0.0,565000.0
569945.0,17.0,7.0,14.0,23.0,1.4,23.0,1.0232791398234542,0.6470588235294118,0.217391304347826,0.5714285714285714,738276,738306,0.0,1.0,0.0,0.0,0.0,0.0,1.0,545000.0
475000.0,195.0,174.0,168.0,372.0,1.9,31.0,0.995559814694837,0.3384615384615384,0.1532258064516129,0.189655172413793,737730,737759,0.0,1.0,0.0,1.0,0.0,0.0,0.0,318000.0
299999.0,2.0,2.0,4.0,44.0,22.0,200.0,0.9185279499294348,0.0,0.1136363636363636,0.5,734808,734837,0.0,1.0,0.0,0.0,0.0,0.0,1.0,273750.0
