,period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
1146,2017-08-01,2017-08-31,30,county,5,1996,f,"Suffolk County, NY",,New York,NY,Condo/Co-op,3,253750.0,-0.1354344122657581,-0.0318580694391453,369900.0,-0.0002689192823233,0.0598853868194841,239.24285714285716,-0.0200405079381313,0.0656232064878352,231.19218910585815,-0.0193629427471065,0.0770836104225862,256.0,0.4382022471910112,0.4382022471910112,180.0,0.1042944785276074,0.3953488372093023,225.0,0.0273972602739727,0.1904761904761904,694.0,-0.0519125683060108,-0.1920838183934807,2.7,-1.3999999999999997,-2.1,57.0,8.0,-18.0,0.9685925677231488,-0.008329806891417,4.635747671155599e-05,0.09375,-0.0579353932584269,-0.0186095505617977,0.1657060518731988,-0.0310152596022109,-0.04500407618268,0.0944444444444444,0.0024199045671438,-0.0140826873385012,"Nassau County, NY",35004.0,2023-10-29 14:25:50
2300,2018-02-01,2018-02-28,30,county,5,1996,f,"Suffolk County, NY",,New York,NY,Multi-Family (2-4 Unit),4,395000.0,-0.0971428571428571,0.0605450396026312,399000.0,0.0561786450736809,0.0640028373408996,193.47313596491227,0.1487727492454253,0.3108189600609128,237.41566191694068,0.0367359379222607,0.0677358631764231,13.0,-0.4583333333333333,-0.1875,13.0,-0.1333333333333333,0.1818181818181818,17.0,-0.1904761904761904,-0.3461538461538461,65.0,-0.1095890410958904,-0.3627450980392157,5.0,2.0,-1.4000000000000004,84.0,17.0,31.0,0.955198001118924,-0.025167082326181,-0.0333282830444765,0.2307692307692307,-0.0608974358974359,-0.1442307692307692,0.1384615384615384,-0.0396206533192834,0.0306184012066365,0.0,-0.1333333333333333,-0.0909090909090909,"Nassau County, NY",35004.0,2023-10-29 14:25:50
2885,2021-10-01,2021-10-31,30,county,5,1996,f,"Suffolk County, NY",,New York,NY,Townhouse,13,475000.0,0.0237068965517241,0.0117145899893502,520500.0,0.006769825918762,0.0644171779141105,235.56101813110183,-0.1110545820830339,-0.0958739831368073,310.0,-0.0244849059096313,0.0833020344287951,13.0,-0.1875,-0.3499999999999999,14.0,0.1666666666666667,0.1666666666666667,12.0,-0.3684210526315789,-0.0769230769230768,27.0,-0.0689655172413793,-0.0999999999999999,2.1,0.3,0.6,21.0,-7.0,-9.0,1.0230498480009735,0.0157377097673878,0.0211203124814263,0.3846153846153846,-0.0528846153846153,0.0346153846153846,0.1481481481481481,0.0102171136653895,-0.1518518518518518,0.0714285714285714,-0.2619047619047618,-0.0119047619047619,"Nassau County, NY",35004.0,2023-10-29 14:25:50
4326,2023-08-01,2023-08-31,30,county,5,1996,f,"Suffolk County, NY",,New York,NY,Townhouse,13,540000.0,-0.0526315789473684,0.1999999999999999,599000.0,0.0,0.0910746812386156,320.77344931921334,-0.0871085516805928,-0.0757375189107412,355.74171446145,-0.0296434339403497,0.0190443150430412,19.0,0.8999999999999999,0.3571428571428572,15.0,0.3636363636363635,-0.2105263157894736,18.0,0.5,1.0,19.0,-0.05,-0.40625,1.0,-1.0,-1.2999999999999998,29.0,4.0,8.0,1.031188668981636,0.0310168550165712,0.004921601766928,0.5789473684210527,0.1789473684210526,-0.1353383458646616,0.0526315789473684,0.0026315789473684,-0.0723684210526315,0.5999999999999999,0.3272727272727272,0.3368421052631578,"Nassau County, NY",35004.0,2023-10-29 14:25:50
4380,2013-04-01,2013-04-30,30,county,5,1996,f,"Suffolk County, NY",,New York,NY,All Residential,-1,300000.0,0.0,0.0526315789473683,349997.0,0.0374892544834741,0.0002772220634466,190.2173913043478,0.0047553837460354,0.059584321371993,216.15123172850863,0.0626897870353841,0.0094846714239538,823.0,0.1258549931600547,0.2526636225266363,776.0,0.3566433566433566,0.2201257861635219,2335.0,0.2533548040794417,0.1980502821959979,8311.0,0.0808947847574457,-0.1222010984368399,10.1,-0.4000000000000003,-4.300000000000001,141.0,0.0,3.0,0.948177605979948,0.0043911778638896,0.0091717916069115,0.1008505467800729,-0.0003806433704058,-0.005694354285376,0.1786788593430393,0.0365277343592963,-0.0100621630481731,0.1481958762886597,-0.005650277557494,0.0161204045905465,"Nassau County, NY",35004.0,2023-10-29 14:25:50
4458,2013-07-01,2013-07-31,30,county,5,1996,f,"Suffolk County, NY",,New York,NY,Multi-Family (2-4 Unit),4,325000.0,0.0655737704918033,-0.1356382978723403,349000.0,-0.0278551532033426,0.0115942028985507,204.08163265306123,0.2462021092633572,0.2925228055868462,213.63636363636363,-0.0318515846039915,0.0220411259188493,25.0,0.4705882352941177,1.7777777777777777,3.0,-0.8125,-0.6666666666666667,37.0,0.9473684210526316,0.608695652173913,168.0,0.0769230769230768,-0.0508474576271186,6.7,-2.499999999999999,-13.0,71.0,-52.0,-12.0,0.9304604910291217,-0.0132463539241064,-0.0171763500503937,0.12,0.12,0.0088888888888888,0.2083333333333333,0.0096153846153846,-0.0063559322033898,0.0,0.0,-0.2222222222222222,"Nassau County, NY",35004.0,2023-10-29 14:25:50
7978,2019-02-01,2019-02-28,30,county,5,1996,f,"Suffolk County, NY",,New York,NY,All Residential,-1,375000.0,-0.0234375,0.053370786516854,419000.0,0.0219761457596525,0.050125313283208,225.47468354430376,-0.0039710581295318,0.0451056277796784,249.56521739130437,0.0156347907915468,0.0511741954017093,1043.0,-0.1358740679370339,0.0388446215139441,880.0,0.0850801479654748,0.0389610389610388,1739.0,-0.0034383954154727,0.0388291517323775,5651.0,0.036120278694536,0.0819452421979705,5.4,0.9000000000000004,0.2000000000000001,65.0,7.0,3.0,0.9775657877112772,0.0019946151638624,0.003752908063124,0.2348993288590604,-0.002880290030749,-0.0081285595871547,0.144576181206866,-0.0242907054818028,0.0005976248216468,0.2068181818181818,0.0428231140006725,0.0309031877213695,"Nassau County, NY",35004.0,2023-10-29 14:25:50
10653,2021-01-01,2021-01-31,30,county,5,1996,f,"Suffolk County, NY",,New York,NY,Condo/Co-op,3,315000.0,-0.0454545454545454,0.125,479000.0,0.041304347826087,0.0911161731207288,280.559331634098,0.0721365094410788,0.1475838082105005,296.66366095581606,0.0164598223377172,0.1384220218861271,173.0,-0.2510822510822511,0.0484848484848485,130.0,0.056910569105691,0.4130434782608696,153.0,0.4433962264150943,-0.203125,293.0,-0.0265780730897009,-0.3602620087336244,1.7,0.3999999999999999,-1.1,32.0,-3.0,-9.0,0.9918372491164414,0.0002767850462133,0.0090822141911831,0.3352601156069364,0.0322298125766333,0.1231389034857242,0.1228668941979522,-5.669384191489546e-05,-0.0125042848413491,0.2384615384615384,0.0921200750469043,0.0428093645484949,"Nassau County, NY",35004.0,2023-10-29 14:25:50
11660,2019-05-01,2019-05-31,30,county,5,1996,f,"Suffolk County, NY",,New York,NY,Condo/Co-op,3,275000.0,0.0617760617760618,0.1702127659574468,439000.0,0.0,0.0477326968973748,255.18485121731288,0.0396588749866317,0.0732557075835391,254.73399458972048,-0.0200553098608745,0.0614358706184443,189.0,0.3216783216783216,-0.0307692307692307,207.0,0.1896551724137931,0.0670103092783504,274.0,-0.0486111111111111,-0.0805369127516778,634.0,0.0242326332794831,0.0584307178631051,3.4,-0.8999999999999999,0.2999999999999998,54.0,7.0,1.0,0.9793716780701772,0.0004724707564548,0.0034092750574804,0.1851851851851851,-0.0176120176120176,0.0262108262108262,0.195583596214511,0.0404947432258196,0.0102747481343774,0.1304347826086956,0.0039980009995002,-0.0757507844016136,"Nassau County, NY",35004.0,2023-10-29 14:25:50
12658,2012-10-01,2012-10-31,30,county,5,1996,f,"Suffolk County, NY",,New York,NY,Multi-Family (2-4 Unit),4,301000.0,0.015519568151147,-0.0878787878787878,329000.0,-0.0142322097378276,0.0123076923076923,151.11111111111111,0.1842563566701498,0.302049622437972,208.33263888888888,0.0026880925994334,0.0065227493306558,11.0,0.0,0.5714285714285714,7.0,1.3333333333333337,0.0,21.0,-0.1923076923076922,-0.3,164.0,-0.0409356725146199,-0.18,14.9,-0.5999999999999996,-13.7,91.0,-145.0,1.0,0.92216258954156,-0.0198840328369236,-0.0370349103515331,0.0909090909090909,-0.1818181818181818,-0.0519480519480519,0.1219512195121951,-0.0300955641135358,-0.1380487804878048,0.2857142857142857,-0.0476190476190476,0.1428571428571428,"Nassau County, NY",35004.0,2023-10-29 14:25:50
